Sponsor Name,Site Name,County,Street,City,Zip Code,Start Date,End Date,Meals,Days,Time,ContactPhone,Email,Notes
North Adams Community Schools,Bellmont Elementary School,Adams,1000 North Adams Drive,Decatur,46733,3/17/2020,7/31/2020,Brk Lun,M,10:05 AM to 12:05 PM,(260) 724-3740,ripleye@nadams.k12.in.us,Delivery instead of on-site pickup
North Adams Community Schools,Bellmont High School,Adams,1000 North Adams Drive,Decatur,46733,3/17/2020,7/31/2020,Brk Lun,M,10:05 AM to 12:05 PM,(260) 724-3740,ripleye@nadams.k12.in.us,Delivery instead of on-site pickup
North Adams Community Schools,Bellmont Middle School,Adams,1000 NORTH ADAMS DRIVE,DECATUR,46733,3/17/2020,7/31/2020,Brk Lun,M,10:05 AM to 12:05 PM,(260) 724-3740,ripleye@nadams.k12.in.us,Delivery instead of on-site pickup
South Adams Schools,Limberlost of Geneva,Adams,202 E. 6th Street,Geneva,46740,3/17/2020,5/21/2020,Brk Lun,W,4:00 PM to 6:30 PM,(260) 589-1112,abbey.morgan@southadams.k12.in.us,School Webpage with Meal Info
South Adams Schools,South Adams Middle School,Adams,1212 Starfire Way,Berne,46740,3/17/2020,5/21/2020,Brk Lun,W,4:00 PM to 6:30 PM,(260) 589-1112,abbey.morgan@southadams.k12.in.us,School Webpage with Meal Info
Adams Central Community Schools,Adams Central Middle,Adams,222 W. Washington St.,Monroe,46772-9436,3/17/2020,5/29/2020,Lun,TWR,11:00 AM to 01:00 PM,(260) 692-6151,bargerm@accs.k12.in.us,School Webpage with Meal Info
Northwest Allen County Schools,Huntertown School,Allen,15330 Lima Road,Huntertown,46748,3/18/2020,5/29/2020,Brk Lun,Contact school for more information,Contact school for more information,(260) 637-8768,erin.greenlee@nacs.k12.in.us,School Webpage with Meal Info
East Allen County Schools,Heritage Elementary School,Allen,12050 Houk Rd,Monroeville,46773,3/17/2020,5/1/2020,Brk Lun,T,2:00 PM to 6:00 PM,(260) 446-0100,dkrleski@eacs.k12.in.us,School Webpage with Meal Info
East Allen County Schools,New Haven Intermediate School,Allen,919 Homestead Drive,New Haven,46774,3/17/2020,5/1/2020,Brk Lun,T,2:00 PM to 6:00 PM,(260) 446-0100,dkrleski@eacs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Lindley Elementary,Allen,2201 Ardmore Ave,Fort Wayne,46802,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Study Elementary School,Allen,2414 Brooklyn Ave,Fort Wayne,46802,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Washington Elementary School,Allen,1015 W Washington Blvd,Fort Wayne,46802,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Adams Elementary,Allen,3000 New Haven Ave,Fort Wayne,46803,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Bunche Early Childhood Center,Allen,1111 Greene St,Fort Wayne,46803,3/17/2020,5/1/2020,Brk,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
