sponsorName,siteName,siteAddress,siteState,contactPhone,contactEmail,daysofOperation,meals,lunchTime,uploadNotes,_createdOn,_updatedOn
North Adams Community Schools,Bellmont Elementary School,1000 North Adams Drive	 Decatur	 Indiana undefined,Indiana,2607243740,ripleye@nadams.k12.in.us,M,Brk Lun,10:05 AM to 12:05 PM,Delivery instead of on-site pickup,2020-04-04 12:05:28,2020-04-04 12:05:28
North Adams Community Schools,Bellmont High School,1000 North Adams Drive	 Decatur	 Indiana undefined,Indiana,2607243740,ripleye@nadams.k12.in.us,M,Brk Lun,10:05 AM to 12:05 PM,Delivery instead of on-site pickup,2020-04-04 12:05:28,2020-04-04 12:05:28
North Adams Community Schools,Bellmont Middle School,1000 NORTH ADAMS DRIVE	 DECATUR	 Indiana undefined,Indiana,2607243740,ripleye@nadams.k12.in.us,M,Brk Lun,10:05 AM to 12:05 PM,Delivery instead of on-site pickup,2020-04-04 12:05:28,2020-04-04 12:05:28
South Adams Schools,Limberlost of Geneva,202 E. 6th Street	 Geneva	 Indiana undefined,Indiana,2605891112,abbey.morgan@southadams.k12.in.us,W,Brk Lun,4:00 PM to 6:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
South Adams Schools,South Adams Middle School,1212 Starfire Way	 Berne	 Indiana undefined,Indiana,2605891112,abbey.morgan@southadams.k12.in.us,W,Brk Lun,4:00 PM to 6:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Adams Central Community Schools,Adams Central Middle,222 W. Washington St.	 Monroe	 Indiana undefined,Indiana,2606926151,bargerm@accs.k12.in.us,T	 W	 Th,Lun,11:00 AM to 01:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Northwest Allen County Schools,Huntertown School,15330 Lima Road	 Huntertown	 Indiana undefined,Indiana,2606378768,erin.greenlee@nacs.k12.in.us,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
East Allen County Schools,Heritage Elementary School,12050 Houk Rd	 Monroeville	 Indiana undefined,Indiana,2604460100,dkrleski@eacs.k12.in.us,T,Brk Lun,2:00 PM to 6:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
East Allen County Schools,New Haven Intermediate School,919 Homestead Drive	 New Haven	 Indiana undefined,Indiana,2604460100,dkrleski@eacs.k12.in.us,T,Brk Lun,2:00 PM to 6:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Lindley Elementary,2201 Ardmore Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Study Elementary School,2414 Brooklyn Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Washington Elementary School,1015 W Washington Blvd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Adams Elementary,3000 New Haven Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Bunche Early Childhood Center,1111 Greene St	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Whitney M Young Early Childhood,1026 E Pontiac St	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Brentwood Elementary,3710 Stafford Dr	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Forest Park Elementary,2004 Alabama Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Abbett Elementary,4325 Smith St	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Irwin Elementary,3500 S Anthony Blvd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Levan Scott Elementary School,950 E Fairfax Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Weisser Park Elementary,902 Colerick Sr	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Fairfield Elementary,2825 Fairfield Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Harrison Hill Elementary,355 Cornell Circle	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,South Wayne Elementary,810 Cottage St	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Bloomingdale Elementary,1300 Orchard St	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Franke Park Elementary,828 Mildred Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Price Elementary,1901 W State Blvd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Indian Village Elementary,3835 Wenonah	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Waynedale Elementary,7201 Elzey St	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Southwest Allen Co Schools	 MSD of,Chestnut Hills Apartment,940 Steinman Drive	 Fort Wayne	 Indiana undefined,Indiana,2604312282,bbrown@sacs.k12.in.us,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Croninger Elementary,6700 Trier Rd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Glenwood Park Elementary,4501 Vance Ave	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Haley Elementary,2201 Maplecrest Rd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
East Allen County Schools,Southwick Elementary School,6500 Wayne Trace	 Fort Wayne	 Indiana undefined,Indiana,2604460100,dkrleski@eacs.k12.in.us,T,Brk Lun,2:00 PM to 6:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Washington Center Elementary,1936 W Wallen Rd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Maplewood Elementary,2200 Maplewood Rd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Holland Elementary,7000 Red Haw Dr	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Lincoln Elementary,1001 E Cook Rd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Northcrest Elementary,5301 Archwood Lane	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
